425,Erna Signe,195
426,Sirene,152
427,Socit Nautique de Bayonne-2,71
428,Socit Nautique de Bayonne-1,71
429,Anitra,57
430,Snude,57
431,White Lady,57
432,Web II,57
433,Web III,57
434,Italy-3,102
435,Pistoja/Firenze,102
436,West Indies Federation,225
437,Posillipo III,65
438,Tritons Lillois-2,71
439,"Turnverein Vorwrts, Cleveland",218
440,Club Nautique de Franais-1,71
441,Monaco-1,139
442,Boreas-2,147
443,Peri,169
444,"New York Turnverein, New York",218
445,Tichiboo,201
446,Siames-Cat,201
447,Swaziland,196
448,India-1,94
449,Italia,102
450,Ausonia,102
451,Angelita,218
452,Burkina Faso,35
453,Nortazo,217
454,Tom Kyle,81
455,Tilly,81
456,Esterel-1,71
457,North Borneo,145
458,Wiking,10
459,Buraddoo,14
460,Heroine,76
461,Burundi,20
462,Chok,57
463,Atlanta,152
464,Germania II,81
465,Wannsee,81
466,Polyteknisk Roklub-1,57
467,Aruba,12
468,Buscape II,31
469,Nina,70
470,Norway-3,152
471,Kristiania Roklub-1,152
472,Kristiania Roklub,152
473,Ormsund Roklub-2,152
474,Chuckles,76
475,South Africa-2,172
476,Chinese Taipei,206
477,Winnipeg Shamrocks-1,38
478,Olle,71
479,United States-10,218
480,Camelia,165
481,Aschenbrodel,81
482,Whitini Star,71
483,Puerto Rico-1,167
484,Bera,152
485,Netherlands-2,147
486,Slaghoken,195
487,Slaghoken II,195
488,Great Britain/Germany,76
489,Nikh,83
490,Swift,76
491,Andorinha,31
492,Unified Team-1,68
493,Cupidon III,10
494,Athens-2,83
495,Bulgaria-2,34
496,Marga-2,195
497,Serendipity,38
498,L'Aile VI,71
499,Cercle de l'Aviron Roubaix-4,71
500,Caprice,38
501,"New College, Oxford-2",76
502,Compigne Polo Club,71
503,Vision,76
504,Cambridge University Boat Club-2,76
505,Trickson VI,38
506,St. Rose-2,218
507,Calcinhas,165
508,Gteborgs Roddfrening-2,195
509,Minerva Amsterdam,147
510,Chamukina,132
511,Nausikaa 4,132
512,New York Athletic Club-1,218
513,Arcturus,10
514,Belgium-1,21
515,St. Louis Southwest Turnverein #1-2,218
516,Nauru,153
517,Jo,152
518,Lucky Star,76
519,Namoussa,71
520,Briar,195
521,Panhellenios Gymnastikos Syllogos-1,83
522,Netherlands-1,147
523,Gabbiano,14
524,Gran Gesto,38
525,Ceres II,76
526,Covunco III,10
527,Chicago Archers,218
528,Royal Club Nautique de Gand,21
529,Roddklubben af 1912-1,195
530,Roddklubben af 1912-2,195
531,Bucintoro Venezia-1,102
532,Bucintoro Venezia,102
533,Edelweiss II-1,21
534,Bamba,102
535,Rush IV,218
536,Boston Archers,218
537,Ali-Baba IV,192
538,Ali-Baba VI,192
539,Ali-Baba IX,192
540,Upton Park FC,76
541,"BLO Polo Club, Rugby",76
542,Hurlingham-2,76
543,Leander Club-1,76
544,Indonesia-2,93
545,Western Rowing Club-3,218
546,Pigoule,71
547,South Vietnam,224
548,Snowten III,71
549,Hungaria,92
550,Libellule de Paris,76
551,Scram,38
552,United States Virgin Islands-2,101
553,United States Virgin Islands-1,101
554,Amstel Amsterdam,147
555,Scotland-3,76
556,Peri II,231
557,Liverpool Police Team-2,76
558,Vinha,14
559,Fantasio III,192
560,Pousse-Moi Pas VII,192
561,Norwegian Rowing Association,152
562,LaBandera,71
563,Gilliatt V,71
564,United States Golf Association-3,218
565,Trans-Mississippi Golf Association-2,218
566,China-2,43
567,China-1,43
568,Sarcelle-35,71
569,Sarcelle-3,71
570,Tango,10
571,Argentina-1,10
572,Brynhild-2,76
573,Espuma del Mar,221
574,Twins II,102
575,Pupilles de Neptune de Lille #2-1,71
576,Beaver,38
577,Monaco-2,139
578,Baccara,192
579,Cobweb-1,76
580,Ral-Club Barcelona,65
581,Vietnam,222
582,Elvis Va,81
583,Romolo,102
584,Aldebaran II,102
585,Aldebaran,102
586,Argus,165
587,Galatea II,102
588,Twins VIII,102
589,Antwerpia V,21
590,Lotta IV,195
591,Saga-2,195
592,Mari,195
593,Paula,14
594,Oranje,147
595,Willem-Six,147
596,DeRuyter,147
597,Acturus,10
598,Societ Nautique de la Marne,71
599,Mexico-2,132
600,Teresita,70
601,Barion/Bari-2,102
602,Eissero VI,71
603,New York Athletic Club-4,218
604,K Division Metropolitan Police Team-3,76
605,Israel-1,100
606,Hong Kong-1,90
607,Malaysia-1,128
608,Cambodia,37
609,Complex II,218
610,Allegro,71
611,Gam II,71
612,Ylliam VIII,192
613,Quand-Mme-33,71
614,Quand-Mme-2,71
615,United States-9,218
616,Berliner Ruderclub Sport-Borussia-1,81
617,Smyrna,76
618,Chinese Taipei-2,206
619,Calimucho,71
620,Bhutan,24
621,North Korea-1,166
622,Malaysia-2,128
623,Kingfisher,143
624,Yangon,143
625,Gustel V,81
626,Sonja II,152
627,Jill,57
628,Kiel,57
629,KNS,152
630,Galt Football Club,38
631,Tim-Tam III,192
632,Uragan,216
633,Kon-Tiki,216
634,Babe,218
635,Poland-2,164
636,Antares,10
637,Venilia,102
638,Hatuey,54
639,Mauritius-1,141
640,Cincinnati Archers,218
641,Morena,57
642,Libellule de Paris-3,71
643,Societ Nautique de la Marne-3,71
644,"Osborne Swimming Club, Manchester",76
645,Brussels Swimming and Water Polo Club,21
646,Ancora,76
647,Saskia,76
648,Wales-4,76
649,SagaII,38
650,Gem,17
651,June Climene,232
652,Cambria,14
653,Oleander XII,23
654,Phoenix,90
655,Ylliam VII,192
656,Ballerina IV,192
657,Chicago Athletic Association,71
658,Calypse II,71
659,Scotland,76
660,Scotland-2,76
661,Ciocca,102
662,Esperia,102
663,Tournade-40,71
664,Tornade-16,71
665,Galejan,195
666,Great Britain-4,76
667,Cuba-1,54
668,Marshall Islands,134
669,United States-6,218
670,Santa Maria,38
671,Dormy-1,76
672,Umberta V,102
673,Rozenn-3,71
674,Jest,154
675,Magdalen College Boat Club-1,76
